"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003735","1.0","0000000106","BIO","13","9","0","4","0","NSC;NSL","Hellyer, Nathan","{'fsnum': '14177', 'name': 'Hellyer, Nathan'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Fr', 'end': '13:15', 'location': 'SC 273', 'start': '22:45'};{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'}","False","C","1","O","20021","Research","2002"
"0000003736","1.0","0000000106","BIO","23","6","0","15","2","NSC;NSL","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '14:30', 'location': 'SC 273', 'start': '12:00'};{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'}","False","D","1","C","20021","Research","2002"
"0000003737","1.0","0000000106","BIO","25","7","2","11","5","NSC;NSL","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '17:30', 'location': 'SC 273', 'start': '15:00'};{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'}","False","E","1","C","20021","Research","2002"
"0000003738","1.0","0000000106","BIO","24","9","1","14","0","NSC;NSL","Cole, Eric","{'fsnum': '1206', 'name': 'Cole, Eric'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Tu', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","F","1","C","20021","Research","2002"
"0000003739","1.0","0000000106","BIO","26","7","0","17","2","NSC;NSL","Cole, Eric","{'fsnum': '1206', 'name': 'Cole, Eric'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Tu', 'end': '14:15', 'location': 'SC 273', 'start': '23:45'}","False","G","1","C","20021","Research","2002"
"0000003740","1.0","0000000106","BIO","26","6","3","14","3","NSC;NSL","May, Barbara","{'fsnum': '14191', 'name': 'May, Barbara'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Tu', 'end': '17:30', 'location': 'SC 273', 'start': '15:00'};{'day': 'Tu', 'end': '11:00', 'location': 'SC 278', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 278', 'start': '09:30'}","False","H","1","C","20021","Research","2002"
"0000003741","1.0","0000000106","BIO","19","6","2","9","2","NSC;NSL","May, Barbara","{'fsnum': '14191', 'name': 'May, Barbara'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Tu', 'end': '11:00', 'location': 'SC 278', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 278', 'start': '09:30'};{'day': 'We', 'end': '16:30', 'location': 'SC 273', 'start': '14:00'}","False","I","1","O","20021","Research","2002"
"0000003742","1.0","0000000106","BIO","24","10","0","12","2","NSC;NSL","May, Barbara","{'fsnum': '14191', 'name': 'May, Barbara'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Tu', 'end': '11:00', 'location': 'SC 278', 'start': '09:35'};{'day': 'Th', 'end': '15:40', 'location': 'SC 273', 'start': '13:10'};{'day': 'Th', 'end': '10:50', 'location': 'SC 278', 'start': '09:30'}","False","J","1","C","20021","Research","2002"
"0000003743","1.0","0000000122","BIO","24","0","9","11","4","","Kandl, Kim A.","{'fsnum': '13100', 'name': 'Kandl, Kim A.'}","200","22","","","","","Intermediate Genetics","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Tu', 'end': '11:00', 'location': 'SC 263', 'start': '08:00'}","False","A","1","C","20021","Research","2002"
"0000003744","1.0","0000000122","BIO","20","0","12","4","4","","Kandl, Kim A.","{'fsnum': '13100', 'name': 'Kandl, Kim A.'}","200","22","","","","","Intermediate Genetics","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 263', 'start': '13:20'}","False","B","1","C","20021","Research","2002"
