"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","section","semester","status","term","type","year"
"0000007656","1.0","0000000098","ASIAN","19","1","2","0","16","EIN;WRI","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","300","18","","","","","Sem: Asia","","399","{'day': 'Tu', 'end': '11:00', 'location': 'HH 301', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'HH 301', 'start': '09:30'}","False","","1","C","20041","Seminar","2004"
"0000007657","0.25","0000000099","BIO","8","6","0","1","1","","Swift, Michael","{'fsnum': '8210', 'name': 'Swift, Michael'}","100","18","","","","","Suppl Inst Cell Biol","","110","{'day': 'Mo', 'end': '14:55', 'location': 'SC 229', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'SC 229', 'start': '14:00'}","True","","1","C","20041","Research","2004"
"0000007658","1.0","0000000102","BIO","19","0","5","4","10","NSC;NSL","Ernst, Alan F.","{'fsnum': '16716', 'name': 'Ernst, Alan F.'}","100","22","","","","","Human Biology","","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '17:00', 'location': 'SC 253', 'start': '15:00'}","False","A","1","C","20041","Research","2004"
"0000007659","1.0","0000000102","BIO","23","1","10","7","5","NSC;NSL","Ernst, Alan F.","{'fsnum': '16716', 'name': 'Ernst, Alan F.'}","100","22","","","","","Human Biology","","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Th', 'end': '10:00', 'location': 'SC 253', 'start': '08:00'}","False","B","1","C","20041","Research","2004"
"0000007660","1.0","0000000102","BIO","20","1","10","6","3","NSC;NSL","Ernst, Alan F.","{'fsnum': '16716', 'name': 'Ernst, Alan F.'}","100","22","","","","","Human Biology","","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Th', 'end': '16:15', 'location': 'SC 253', 'start': '14:15'}","False","C","1","C","20041","Research","2004"
"0000007661","1.0","0000000106","BIO","24","11","0","12","1","NSC;NSL","Cole, Eric","{'fsnum': '1206', 'name': 'Cole, Eric'}","100","24","","","","","Cell Bio & Genetics","","125","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '16:45', 'location': 'SC 273', 'start': '14:15'}","False","A","1","C","20041","Research","2004"
"0000007662","1.0","0000000106","BIO","27","11","1","15","0","NSC;NSL","Cole, Eric","{'fsnum': '1206', 'name': 'Cole, Eric'}","100","24","","","","","Cell Bio & Genetics","","125","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","B","1","C","20041","Research","2004"
"0000007663","1.0","0000000106","BIO","23","10","4","8","1","NSC;NSL","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","24","","","","","Cell Bio & Genetics","","125","{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Tu', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","C","1","C","20041","Research","2004"
"0000007664","1.0","0000000106","BIO","21","9","0","12","0","NSC;NSL","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","24","","","","","Cell Bio & Genetics","","125","{'day': 'Mo', 'end': '14:30', 'location': 'SC 273', 'start': '12:00'};{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'}","False","D","1","C","20041","Research","2004"
"0000007665","1.0","0000000106","BIO","25","10","3","8","4","NSC;NSL","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","24","","","","","Cell Bio & Genetics","","125","{'day': 'Mo', 'end': '17:30', 'location': 'SC 273', 'start': '15:00'};{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'}","False","E","1","C","20041","Research","2004"
